Student,LPIPS,SSIM
113590055.png,0.0,1.0
110590455.png,0.17178255319595337,0.7482711265610995
111590028.png,0.18510237336158752,0.7502048286512815
113590451.png,0.20065538585186005,0.7429189506869626
113590450.png,0.2098674327135086,0.7725601282062569
114054809.png,0.22091400623321533,0.7008574835592709
113590033.png,0.25640949606895447,0.7054570729025914
113590051.png,0.26920285820961,0.7326610823544685
113370239.png,0.27084171772003174,0.7167723706125796
111590047.png,0.276463121175766,0.6818470946190429
113590039.png,0.27907148003578186,0.7102239872890882
113590056.png,0.28347593545913696,0.6992486125220194
113590036.png,0.2919740080833435,0.6922410621102912
113590031.png,0.30076926946640015,0.6967380442685127
113590052.png,0.30253416299819946,0.6882145536699117
113AC1012.png,0.3030921220779419,0.6476705410112675
113590061.png,0.3163054287433624,0.6982589274337961
113590040.png,0.316664457321167,0.7184460410923255
113590060.png,0.32296222448349,0.7014018979550889
113590022.png,0.3240121603012085,0.6921927242342373
113590001.png,0.3263980746269226,0.6421785268312039
112590040.png,0.3283792734146118,0.6655847316250519
113590015.png,0.3310280442237854,0.6519443647895284
113590003.png,0.3314788043498993,0.6632880862908952
112590452.png,0.33374539017677307,0.6530999548650476
113590026.png,0.3355417549610138,0.6708537487145837
113590045.png,0.3446708917617798,0.6311645048704985
113590005.png,0.3489479720592499,0.7378713902580547
113590062.png,0.3526645600795746,0.6015959948892708
113590018.png,0.35531434416770935,0.6253720178499376
111590062.png,0.3558822572231293,0.675192115353713
113590021.png,0.3563788831233978,0.6602475850076922
113590044.png,0.3607247471809387,0.6318427071797631
113590057.png,0.3643430471420288,0.6200998512346748
113590032.png,0.3658421039581299,0.6934541764442125
112590455.png,0.36771559715270996,0.6491847648203678
112590454.png,0.368060827255249,0.6323079972884027
113590006.png,0.37553083896636963,0.6148857443023024
113590047.png,0.38030770421028137,0.7367671337065352
113AB0018.png,0.388221800327301,0.5973839137165338
113590011.png,0.39295998215675354,0.5907186788488323
113590002.png,0.39837485551834106,0.6208167210165039
113590050.png,0.39981916546821594,0.5569525278744124
113590004.png,0.40658923983573914,0.7374762356336927
113590010.png,0.40960508584976196,0.6105984026635414
113590025.png,0.4149830937385559,0.7493883770446814
113590043.png,0.41672366857528687,0.7476908310073711
113590023.png,0.4187558591365814,0.5299702241938102
113590028.png,0.4228605628013611,0.5634112671490088
113590042.png,0.43266618251800537,0.5886942107993739
113590059.png,0.4453584551811218,0.5354605086370063
111590042.png,0.44812047481536865,0.7618223883232038
113590049.png,0.4606570303440094,0.516672309367306
111590455.png,0.48561328649520874,0.5284923481201573
113590008.png,0.5055985450744629,0.47831250377929085
113590013.png,0.5249051451683044,0.42230910821724543
112590058.jpg,0.5289880037307739,0.41899688244895433
